clean_content,sentiment,label,score,text_length,word_count,at,thumbsUpCount,reviewCreatedVersion,appVersion
kerennn bangettttt,positif,2,5,18,2,2025-12-18 15:00:14,0,409.0.0.48.170,409.0.0.48.170
ga tau ngapa kasih bintang 5,positif,2,5,28,6,2026-03-02 09:12:52,0,418.0.0.51.77,418.0.0.51.77
baik bagus mudah,positif,2,5,16,3,2026-05-06 07:27:54,0,427.0.0.47.73,427.0.0.47.73
terintegrasi dengan layanan tentu adalah nilai tambah dengan demikian akan memberikan kemudahan,positif,2,5,95,12,2026-04-18 18:12:38,0,425.0.0.47.61,425.0.0.47.61
ntap,positif,2,5,4,1,2026-05-15 08:19:08,0,429.1.0.44.70,429.1.0.44.70
dengan adanya instagram aku bisa melihat dunia luar dan menambah insfirasi semoga instagram lebih maju ditahun 2026 hingga target pengunjung lebih berkembang juga,netral,1,4,162,23,2025-12-28 03:43:51,0,293.0.2.28.93,293.0.2.28.93
dari kemarin nggak bisa menampilkan gambar video padahal sinyal udah bagus tolong dong diperbaiki kalau memang ada tempat error atau bugnya,netral,1,2,139,21,2026-04-27 05:56:32,0,,
oui what going on when im open it my instagram can t load it up even home profile or even log in it force me now using lite version what going on instagram can you repair it for able im use the app again,positif,2,5,203,44,2026-04-27 13:31:55,0,425.0.0.47.61,425.0.0.47.61
akun asli aku gabisa repost sedangkan aku secc bisa itu kenapa ya,netral,1,3,65,12,2026-01-25 21:47:11,0,401.0.0.48.79,401.0.0.48.79
ini knp ya apk nya pas di buka ngelag gaada gambarnya padahal jaringan aman aman ajaa,netral,1,2,85,16,2026-04-27 07:44:26,0,,
saya ingin menyampaikan bahwa instagram sering mengalami error yang mengganggu yaitu dari feed tidak bisa dimuat padahal internet lancar hal ini sangat mengurangi kenyamanan pengguna mohon segera ada perbaikan yang nyata agar kualitas layanan tetap terjaga,netral,1,3,256,36,2026-04-29 04:59:07,2,426.0.0.37.68,426.0.0.37.68
sangat real,positif,2,5,11,2,2026-02-06 12:16:52,0,,
sangat bagus dan saya hanya satu masalah tilang iklan yang tidak benar itu tolong di ilangi please untuk instagram,positif,2,5,114,19,2026-01-02 12:39:34,2,410.1.0.63.71,410.1.0.63.71
ga bisa upload cerita ngepost juga ga bisa bahkan ganti foto profil aja ga bisa error mulu padahal kualitas jaringan bagus,negatif,0,1,122,21,2026-02-13 09:17:25,0,318.0.0.30.110,318.0.0.30.110
sangat membantu sekali adanya instagram,positif,2,5,39,5,2025-12-26 07:04:57,0,410.1.0.63.71,410.1.0.63.71
loading mulu instagram skg udah di resfresh dll ttp sm aja,netral,1,4,58,11,2026-05-01 17:12:11,0,344.1.0.42.92,344.1.0.42.92
bguss bngettt jdi nya syukaaa,positif,2,5,29,5,2026-05-16 12:13:47,0,428.0.0.47.67,428.0.0.47.67
deqy,positif,2,5,4,1,2026-03-31 14:04:29,0,417.0.0.54.77,417.0.0.54.77
kenapa klo kita udh kluar dri apk msih terdengar suaranya kayak ngeblank atau error gtu atau hp aku ya yg error tpi cuma instagram doang yg error yg lain enggk,positif,2,5,159,30,2026-01-24 04:53:49,0,,
knp ai nya untuk merubah poto nya ada masalah terus,netral,1,2,51,10,2026-04-22 09:20:55,0,425.0.0.47.61,425.0.0.47.61
filter kadang ga bisa di buat vc ga bisa di buat foto ga bisa,netral,1,2,61,14,2025-12-21 13:53:16,0,410.1.0.63.71,410.1.0.63.71
aplikasi jelek saya chat cewe ga pernah di bls,negatif,0,1,46,9,2026-04-15 19:07:24,0,424.0.0.49.64,424.0.0.49.64
seruu aja pakek instagram,positif,2,5,25,4,2025-12-16 09:26:04,0,,
tolong ajari saya smuanya terbaik,positif,2,5,33,5,2026-01-05 04:43:37,0,410.1.0.63.71,410.1.0.63.71
kenapa y apk ig ku tbtb ilang trus adanya cuma uninstall ga ada yg buka,negatif,0,1,71,15,2026-04-15 22:01:19,0,8.2.0,8.2.0
hallo kepada pihak instagram setelah update aplikasi instagram mengalami lag padahal jaringan ke sosmed lain lancar lancar saja tolong di perbaiki terimakasih,negatif,0,1,158,22,2026-04-23 19:00:14,2,426.0.0.37.68,426.0.0.37.68
gaa trlalu suka fiturny suka brubah kek ig lama,netral,1,3,47,9,2026-02-02 10:13:05,0,333.0.0.42.91,333.0.0.42.91
ishhh kenapa eror mulu si instagram gabisa buka apa apa ga muncul,negatif,0,1,65,12,2026-04-26 12:56:18,0,280.0.0.18.114,280.0.0.18.114
ko gabisa d buka sih pdhl sinyal kenceng aneh,netral,1,2,45,9,2026-04-25 10:24:31,0,,
masa di suruh konfirmasi lewat foto tapi jariangan nya ga stabil pdhal lancar aja akun saya jdi hilang gbsa di pulihin lgi padahl buat nyimpen foto foto itu,negatif,0,1,156,28,2026-05-06 14:11:39,0,319.0.0.43.110,319.0.0.43.110
ngelegg jembottt,netral,1,3,16,2,2026-04-28 12:11:21,0,391.0.0.42.82,391.0.0.42.82
senang karena selalu dibimbing tp masih ada fitur yang belum dicoba,positif,2,5,67,11,2026-04-08 07:11:50,1,423.0.0.47.66,423.0.0.47.66
tolong adain tanda orng yg ngeunfollow kitaa,netral,1,4,44,7,2026-04-30 03:57:35,1,426.0.0.37.68,426.0.0.37.68
knp akun saya gk bs lo gin,positif,2,5,26,7,2026-02-19 17:01:40,0,,
hai instagram kenapa punya saya mau buat akun ko tidak bisa tolong perbaiki segera bug ini,negatif,0,1,90,16,2026-03-23 17:49:32,0,,
saya tida bisa membagikan vidio yang menyebutkan nama saya dan tida ada postingan ulang yang bisa saya ulang,netral,1,3,108,18,2026-02-09 06:56:52,0,415.0.0.36.76,415.0.0.36.76
baguss banget instagram,positif,2,5,23,3,2026-03-25 16:54:51,0,,
ok deh,positif,2,5,6,2,2026-01-08 19:40:58,0,411.0.0.23.257,411.0.0.23.257
banyak bug nya untuk updatan desember 2025,negatif,0,1,42,7,2025-12-10 05:42:53,0,410.0.0.0.50,410.0.0.0.50
suka deh,positif,2,5,8,2,2026-02-16 08:53:41,0,,
sangat menolong kami sebagai pengguna media sosial,positif,2,5,50,7,2026-04-22 08:28:26,0,425.0.0.47.61,425.0.0.47.61
plis ini ga di pake,negatif,0,1,19,5,2026-05-02 07:23:44,0,,
foto sampul sorotan terlalu lama saat memuat,negatif,0,1,44,7,2026-02-01 05:28:30,0,414.0.0.40.83,414.0.0.40.83
kalau mau buat story dan pilih lagu itu gak ada semua lagu yg dicari tolong di perbarui lagi dong pihak meta,netral,1,2,108,21,2026-05-14 17:40:16,0,429.1.0.44.70,429.1.0.44.70
ini knp si instagram sering banget logout sendiri,negatif,0,1,49,8,2026-03-09 08:49:17,0,,
mudah mencari informasi,positif,2,5,23,3,2026-02-27 14:49:55,0,,
apl ny bagusss,positif,2,5,14,3,2026-05-02 05:13:55,0,,
jangan kebanyakkan bug terpaksa hrus bikin akun baru,negatif,0,1,52,8,2026-04-17 16:00:53,0,,
telat update trs sedangkan org lain selalu gercep,netral,1,2,49,8,2026-05-18 16:52:38,0,424.0.0.49.64,424.0.0.49.64
aplikasi paling gaje sedunia,negatif,0,1,28,4,2026-02-26 15:53:25,0,331.0.0.37.90,331.0.0.37.90
ig kebanyakan bug padahal sinyal ku bagus mau ganti sampul aja nungguin nya berjam jam tolong perbaiki ini,negatif,0,1,106,18,2025-12-11 05:24:37,2,408.0.0.51.78,408.0.0.51.78
ini apa apaan kek gunung hancur meledak,positif,2,5,39,7,2026-03-18 15:39:25,0,189.0.0.41.121,189.0.0.41.121
saya buka di sony xperia kok ndak bisa ya,netral,1,3,41,9,2026-04-07 05:45:47,0,423.0.0.47.66,423.0.0.47.66
pengganti tiktok,netral,1,4,16,2,2026-03-21 02:27:12,0,,
nice lebih di tingkatkan lagi mudahkan untuk fyp dan verfikasi centang biru nya,positif,2,5,79,13,2026-03-29 02:55:27,0,422.0.0.44.64,422.0.0.44.64
sanga menarik,positif,2,5,13,2,2026-03-09 11:59:01,0,,
suka bug gasuka,netral,1,4,15,3,2026-01-01 17:33:38,0,410.1.0.63.71,410.1.0.63.71
sanbat lengkap,positif,2,5,14,2,2026-02-05 22:24:07,0,,
sangat cepat terhubung dengan dunia,positif,2,5,35,5,2026-04-09 09:30:46,1,423.0.0.47.66,423.0.0.47.66
aplikasi nya bagus membantu bgt,positif,2,5,31,5,2026-01-02 11:48:14,0,,
baik bagus mantap ya,positif,2,5,20,4,2026-02-14 11:49:54,0,,
masak arsipan stori gk bisa di buat ke sorotan,negatif,0,1,46,9,2026-01-18 10:11:48,0,412.0.0.35.87,412.0.0.35.87
caption comentar distory hilang gak jelas segera diperbaiki,negatif,0,1,59,8,2025-12-20 11:17:01,0,238.0.0.14.112,238.0.0.14.112
sementara waktu saya kasi 3 bintang duiu kalau hasilnya bagus nanti saya tambah kan lagi 2 bintang,netral,1,3,98,17,2026-04-17 06:35:29,0,,
ig kenapa kayak gada koneksi gtu ya pdhl jaringan bagus tp cmn layar putih gtu muter aja tolong diperbaiki,netral,1,4,106,19,2026-04-30 15:50:31,0,264.0.0.22.106,264.0.0.22.106
aku suka bnget,positif,2,5,14,3,2026-04-07 21:49:42,0,409.0.0.48.170,409.0.0.48.170
plis ini kenapa akun ku ngebug,positif,2,5,30,6,2026-04-28 04:12:55,0,,
ini kenapa ya jaringan saya lancar di semua aplikasi dan website cuman pas masuk ig ngelag tolong perbaiki,netral,1,2,106,18,2026-04-28 13:15:13,1,426.0.0.37.68,426.0.0.37.68
untuk para developer tolong sekali kembalikan filter ig yang lama dan mohon sekali efek instagram dikembalikan seperti dulu semoga pihak developer mentoleransi keluhan saya ini jika sudah diatasi saya akan kasih rating bintang 5 trimakasih,netral,1,2,239,35,2025-12-19 13:57:05,8,409.1.0.49.170,409.1.0.49.170
paling keren dan menguntung kan guass,positif,2,5,37,6,2026-02-18 12:46:29,1,410.1.0.63.71,410.1.0.63.71
di instagram bisa membuat aku bisa banyak teman dan pengalaman,positif,2,5,62,10,2025-12-27 12:09:15,0,410.1.0.63.71,410.1.0.63.71
senang pakai ini apa apa saja boleh di kirim,positif,2,5,44,9,2026-03-06 02:44:44,0,417.0.0.54.77,417.0.0.54.77
bagus tapi followers udah 1k gabisa live,positif,2,5,40,7,2026-03-20 15:52:57,0,421.0.0.51.66,421.0.0.51.66
slalu berhnti dan mnutup app its suck,netral,1,3,37,7,2025-12-30 14:04:03,0,312.1.0.34.111,312.1.0.34.111
min tolong balikin instagram kaya duluu,netral,1,4,39,6,2026-05-01 23:25:10,0,406.0.0.58.159,406.0.0.58.159
ngapain ngasih pilihan pengaturan terus kena pelanggaran ga perlu kasi pilihan klo ujung ujung nya pelanngaarann ga jelasss,negatif,0,1,123,18,2026-05-05 07:47:56,0,,
instagram salah satu media penyimpan kenangan pribadi,positif,2,5,53,7,2026-03-23 05:07:49,0,421.0.0.51.66,421.0.0.51.66
tempat dimana menyalurkan ide pikiran dan perasaan so far so good,netral,1,4,65,11,2025-12-25 12:33:59,0,410.1.0.63.71,410.1.0.63.71
kalo ada yang kurang mungkin dari hp nya aja,positif,2,5,44,9,2026-04-30 13:49:40,0,367.0.0.43.89,367.0.0.43.89
semoga bermanfaat dan terpakai selalu,positif,2,5,37,5,2026-03-17 04:32:39,0,,
apk nya banyak bug nya ketika nyecroll rells terus ada iklan mau gue skip eh malah ke chrome terus kadang gak bisa digeser kadang juga malah geser ke hlaman utama gimana sih makin update makin gj nih apk nya tolong di perbaiki secepatnya,netral,1,3,237,43,2026-01-17 14:40:44,106,412.0.0.35.87,412.0.0.35.87
menyenangkan main instagram ada beberapa informasi yg bisa didapatkan dari instagram,positif,2,5,84,11,2025-12-17 08:31:54,0,400.0.0.49.68,400.0.0.49.68
udah di update tapi saat edit foto slalu ada masalah dan gabisa bisa di edit,negatif,0,1,76,15,2026-04-21 19:50:06,1,422.0.0.44.64,422.0.0.44.64
nice n good,netral,1,4,11,3,2026-04-15 10:45:17,0,,
kenapa ya kok gw pake aplikasi nya kok ngelag,netral,1,4,45,9,2026-04-15 22:58:58,0,,
susah banget hapus akun,negatif,0,1,23,4,2026-04-21 10:44:00,0,385.0.0.47.74,385.0.0.47.74
kenapa dah ig banyak iklan vulgar gapapa kalau emang iklannya cuma promosi game atau aplikasi lain tapi untuk iklan 18 atau judol mohon dikurangi lah atau kalau bisa dihilangkan please ya untuk masalah iklan dikontrol lagi,negatif,0,1,222,36,2026-01-11 06:48:18,35,411.0.0.23.257,411.0.0.23.257
iki apk good untuk flexing soale so estetik,positif,2,5,43,8,2026-05-05 05:24:07,0,,
inii anjgg kenapa engga bisa telfon ya hah,negatif,0,1,42,8,2026-02-06 13:42:44,0,324.0.0.27.50,324.0.0.27.50
akhir akhir ini sering banget bug ngga bisa unggah story dan ada tulisan kesalahan pdhl sinyal sudah bagus dan reinstall baru bisa tapi setelahnya mengulang seperti itu,netral,1,4,168,27,2026-02-13 04:24:19,0,,
oi perbaiki apkmu njgg,negatif,0,1,22,4,2025-12-08 08:56:44,0,408.0.0.51.78,408.0.0.51.78
bagus bngt god job,positif,2,5,18,4,2026-02-10 10:17:07,0,415.1.0.46.76,415.1.0.46.76
jadi suka ngelag,netral,1,2,16,3,2026-02-12 13:21:50,1,,
makin di update malah makin banyak bug nya baru beberapa menit update udh gbisa liat ig mulai dari sg chat sampe profil semuanya masih memuat bahkan sampe seharian gbisa dibuka terus an memuat,negatif,0,1,192,33,2026-04-28 09:29:17,2,426.0.0.37.68,426.0.0.37.68
ini gimana yak klo setiap buka ig selalu ga ada gambar nya dan juga gabisa posting video ke ig,positif,2,5,94,19,2026-04-27 10:54:15,1,426.0.0.37.68,426.0.0.37.68
mantap dan keren,positif,2,5,16,3,2026-03-29 09:07:19,0,,
terbaik ig,positif,2,5,10,2,2026-05-15 11:16:19,0,,
bgus bnyk fturny,positif,2,5,16,3,2026-04-09 13:32:20,0,,
ini gimana sih mau log in aja lama banget padahal sinyal bagus stabil,negatif,0,1,69,13,2026-04-29 00:57:34,0,308.0.0.36.109,308.0.0.36.109
so good,positif,2,5,7,2,2026-05-17 14:07:10,0,429.1.0.44.70,429.1.0.44.70
knapa ignya iror sih aku buka loading terus di hapus terus di install lagi ttp sama kenapaa sampe gini aplikasi nya,netral,1,2,115,21,2026-04-28 22:35:48,1,427.0.0.47.73,427.0.0.47.73
instagram saya suka keluar tiba tiba jadi saya mohon di perbaiki lagi instagram nya,netral,1,3,83,14,2026-04-22 02:22:08,1,,
knpa tahun ini ig ng bug trs,positif,2,5,28,7,2026-04-27 13:34:18,0,426.0.0.37.68,426.0.0.37.68
kadang gak ada suaranya saat lihat video,negatif,0,1,40,7,2026-01-26 12:42:48,1,413.0.0.41.84,413.0.0.41.84
serasa buka apk xiaomi sekarang iklannya behhhh mantap sekali sekrol iklan sekrol iklan lagi,negatif,0,1,92,14,2026-02-02 02:14:08,0,413.0.0.41.84,413.0.0.41.84
instagram is always wrong and kills us without reason it is not recommended for those who have big businesses,negatif,0,1,109,19,2026-04-30 10:30:41,0,426.0.0.37.68,426.0.0.37.68
instagram,positif,2,5,9,1,2026-04-30 18:22:40,0,,
kenapa yah pas story foto pas pilih lagu yang kita mau itu nggak adaa trus lagu yang muncul hanya instrumen lagu inggris ini kenapaaaaa udah brpa kali update tetap aja udah hapus ig terus di unduh kembali tetap aja kek gitu tapi di akun yang satunya nggak kaya gituuuuuu kezzeelll dehh,netral,1,2,285,51,2026-05-18 16:04:35,1,248.0.0.17.109,248.0.0.17.109
bguss bgt tpi sy kenapa iyaa g langsung update gtu maaf,positif,2,5,55,11,2026-01-24 23:12:16,0,413.0.0.41.84,413.0.0.41.84
ga bisa di buka aplikasi nya,negatif,0,1,28,6,2026-04-24 04:42:31,0,,
layar nya suka jdi white ngebug,netral,1,3,31,6,2026-03-15 12:23:58,0,,
kerena baguss,netral,1,4,13,2,2026-03-18 14:26:32,0,,
g jls udah 4 hri g bisa d apa apain ni apk ny mohon segera d perbaiki,negatif,0,1,69,17,2026-04-28 01:58:02,0,,
kayak mdt di police ime roleplay aja harus nungguin lama dulu,positif,2,5,61,11,2026-04-25 15:44:38,0,,
ig skrg jelek masa bkin stry video ig video nya jd lonjong aneh bgt,netral,1,2,67,14,2026-04-12 10:36:37,0,,
kenapa ig logout sendiri ya aku gak ada hacker,negatif,0,1,46,9,2026-02-27 07:24:11,0,,
saya hari ini bermain instagram dan malah kena bug eror beranda kosong tidak bisa melihat positingan seperti sinyal lag tpi sinyal lancar tolong di perbaiki lah ini sangat merugikan banget padahal semalem enak2 aja siang nya malah eror,netral,1,2,235,38,2026-04-24 05:43:00,0,362.0.0.33.241,362.0.0.33.241
good top,positif,2,5,8,2,2026-04-28 21:07:02,0,,
barusan update aplikasinya malah ga bisa dibuka,negatif,0,1,47,7,2026-05-11 02:16:47,0,428.0.0.47.67,428.0.0.47.67
kk instagram saya kalau dibuka dia kadang mau keluar sendiri dari aplikasi nya kk kenapa kok bisa begitu ya kk tolong perbaiki ya kk,negatif,0,1,132,24,2026-01-30 13:28:48,0,,
aplikasi ini sangat bagus dan membantu sekali,positif,2,5,45,7,2026-03-02 14:55:56,0,,
bagus sekali buat poto efek nya cantik dan bagus,positif,2,5,48,9,2026-05-20 04:22:20,0,,
bagussss keren sxkekfismrff,positif,2,5,27,3,2026-05-17 05:20:03,0,,
ig gua suka ga muncul gambarnya malah baru login putih semua gada apa apanya gmna sih,negatif,0,1,85,16,2026-04-25 06:26:18,0,312.1.0.34.111,312.1.0.34.111
to many ads please help t t,negatif,0,1,27,7,2026-02-23 21:31:59,0,,
tidak bisa login dan keterangan sandi salah,positif,2,5,43,7,2026-04-22 22:28:59,0,425.0.0.47.61,425.0.0.47.61
majasih,positif,2,5,7,1,2026-03-21 23:57:05,0,335.0.0.39.93,335.0.0.39.93
3 dulu deh soalnya tumben pake ig lagi,positif,2,5,38,8,2026-02-16 14:13:18,0,415.0.0.36.76,415.0.0.36.76
error mulu udah 3 hari feed tidak bisa dimuat dan story tidak muncul padahal koneksi internet normal dan aplikasi lain berjalan lancar saya sudah mencoba hapus cache hapus data reinstall dan restart perangkat tetapi masalah tetap terjadi saat login juga sering stuck di loading masalah hanya terjadi di aplikasi karena melalui browser dan instagram lite masih bisa digunakan mohon segera diperbaiki karena sangat mengganggu penggunaan,negatif,0,1,434,65,2026-04-27 09:29:05,8,426.0.0.37.68,426.0.0.37.68
sering ngelag dan peyimpanan nya bikin hp penuh dah ngelag,negatif,0,1,58,10,2026-05-19 06:41:53,0,,
hai devloper saran saya tolong viewers komentar nya di update agar kita dapat melihat nama penyuka nya itu saja saran dari saya,positif,2,5,127,22,2026-04-14 13:32:04,1,424.0.0.49.64,424.0.0.49.64
akun saya diblokir tanpa alasan yg jelas,netral,1,2,40,7,2026-04-28 21:56:26,0,,
buat foto jdi cakepp,netral,1,4,20,4,2026-05-11 07:53:16,0,427.0.0.47.73,427.0.0.47.73
biar bintang yang menjawab,positif,2,5,26,4,2026-03-07 01:25:42,0,,
ini kenapa makin kesini makin jelek ya tiba bgt ngefollow org yang ga di follow mana bnyk bgt pdhl udh ganti sandi username email tetep aja kaya gtu tolong dong ya bkin kesel tau,negatif,0,1,178,34,2026-03-05 13:40:44,0,,
terima kasih atas perhatiannya kedpn2nya lbh bgs lg,positif,2,5,51,8,2026-04-16 11:32:22,0,425.0.0.47.61,425.0.0.47.61
ya baguslah ngapain gw kasih bintang 5 kalau jelek,positif,2,5,50,9,2026-05-04 02:53:58,0,,
instagram sangat joss sekalii,positif,2,5,29,4,2026-01-11 15:38:49,0,,
bisa mendapat teman ngobrol biar gak sendirian kalo ngobrol soalnya setiap aku ngobrol gak ada yang dengerin,netral,1,3,108,17,2026-04-19 04:33:36,0,425.0.0.47.61,425.0.0.47.61
terimakasih sudah menjadi bagian setiap proses,positif,2,5,46,6,2026-02-24 02:46:41,0,417.0.0.54.77,417.0.0.54.77
ini ig knp ya error bin ngaco bner pas di bukanya muter2 mulu trs tiba2 balik ke menu awal,negatif,0,1,90,19,2026-05-17 14:09:54,0,429.1.0.44.70,429.1.0.44.70
plis gak usah bikin ngelek,positif,2,5,26,5,2026-05-21 07:29:23,0,430.0.0.53.80,430.0.0.53.80
sangat mudah dan cepat,positif,2,5,22,4,2025-12-30 09:01:29,0,,
app yg sangat mendukung buat pekerjaan sya,positif,2,5,42,7,2026-04-23 07:37:17,0,426.0.0.37.68,426.0.0.37.68
aplikasi ini sangat cocok untuk para jomblo atau mencari teman baru aku sangat senang sekali,positif,2,5,92,15,2026-05-14 10:13:29,0,,
ga bisa lgsg update fitur baru,netral,1,4,30,6,2026-04-21 14:35:57,0,425.0.0.47.61,425.0.0.47.61
aplikasih ini sangat bagus saya suka,positif,2,5,36,6,2026-04-06 09:04:45,0,278.0.0.22.117,278.0.0.22.117
ngelag instagramnya min,positif,2,5,23,3,2026-02-12 09:21:53,0,,
jarang pakai,netral,1,3,12,2,2026-02-16 06:04:27,0,414.0.0.40.83,414.0.0.40.83
keren bangetz,positif,2,5,13,2,2026-02-18 03:03:28,0,415.0.0.0.43,415.0.0.0.43
bagus dan betmanfaat,positif,2,5,20,3,2025-12-14 08:49:53,0,333.0.0.42.91,333.0.0.42.91
bug nya ga di bener benerin buat ngasih gif jadi kecil banget nyempil ga jelas,negatif,0,1,78,15,2026-04-05 17:03:59,0,,
ig nya ngga bisa di buka aku baru pertama kali download ig truss ada tulisan mengatur ke bahasa indonesia setelah itu ada masalah harus milih dua jawaban yaitu atur sebagai bahasa ingriss as dan coba lagi aku ketik qtur sebagai bahasa inggrid trus layarnya berubah menjadi putihh dan aku tunggu sangat lama tapi ga bisa bisa,negatif,0,1,324,56,2026-04-25 08:29:17,6,426.0.0.37.68,426.0.0.37.68
saya tidak bisa lagi membuat akun,netral,1,2,33,6,2026-03-20 16:17:48,0,421.0.0.51.66,421.0.0.51.66
alamat nhn ynbyyh nn bs vf bff g u ss brf ete b chub y g hh ja g n bv daerah f tb n jvprovinsi j a,netral,1,2,98,28,2026-05-21 23:34:28,0,429.1.0.44.70,429.1.0.44.70
defining the instagram home profile as a personal platform category page as well as a page for fun,positif,2,5,98,18,2026-04-28 04:59:57,0,426.0.0.37.68,426.0.0.37.68
biasanya bisa tapi sekarang di buka lemot ndak bisa liat storynya orang padahal internet lancar,netral,1,4,95,15,2026-04-24 21:41:53,1,393.1.0.50.76,393.1.0.50.76
jelek udh update ttp gbisa call mlah suruh update lagi kocak jelas udah update,netral,1,2,78,14,2026-03-23 07:23:27,0,420.0.0.55.74,420.0.0.55.74
update kali ini kaga bisa liat beranda padahal jaringan 5g,negatif,0,1,58,10,2026-04-24 05:44:39,0,426.0.0.37.68,426.0.0.37.68
keren sih mudahan bisa ditingkatkan terus,positif,2,5,41,6,2026-01-23 23:05:31,0,394.0.0.46.81,394.0.0.46.81
aplikasi tolol setelah di update malah banyak bug,negatif,0,1,49,8,2026-04-27 12:46:03,0,,
mantab anying instagram,positif,2,5,23,3,2026-05-15 14:46:47,0,,
fiturnya menarik,positif,2,5,16,2,2026-02-10 19:00:40,0,415.1.0.46.76,415.1.0.46.76
klw aplot stori gak klihatan gambar,netral,1,2,35,6,2026-02-12 04:44:37,0,416.0.0.47.66,416.0.0.47.66
suits sekarang lebih suka buka ig,positif,2,5,33,6,2026-05-19 14:34:54,0,429.1.0.44.70,429.1.0.44.70
malah gak bisa di buka,negatif,0,1,22,5,2026-02-28 18:51:52,0,406.0.0.45.159,406.0.0.45.159
menakjubkan,positif,2,5,11,1,2026-05-17 12:59:44,0,428.0.0.47.67,428.0.0.47.67
bagus sekali dan sangat memuaskan terima kasih instagram,positif,2,5,56,8,2026-05-01 01:20:54,0,,
akun aku kok bisa dinonaktifkan ya padahal keseharian gue cuma scrol,negatif,0,1,68,11,2026-02-21 05:11:59,0,417.0.0.54.77,417.0.0.54.77
dikit dikit ajukan banding ajukan banding lagi cape make ni aplikasi,negatif,0,1,68,11,2026-01-29 15:18:42,0,,
kenapa gak bisa dibuka appnya woi kapan benernya,negatif,0,1,48,8,2026-04-25 14:45:57,0,,
tolong dong kalau di update lagi ada pemberi tahuan kayak akun yg tdk memfollow akun anda,netral,1,4,89,16,2026-04-03 22:39:18,0,,
gajelas akun di suspend skarang mau login ke akun baru gbsa,negatif,0,1,59,11,2026-03-01 15:31:15,0,418.0.0.51.77,418.0.0.51.77
woy tolonglah kebanyakan bug dah ini aplikasi kemarin akun first second gw tiba tiba keblok permanen tanpa sebab sekarang gabisa liat story orang lain padahal waktu liat profil orang lain temen itu ada storynya eh pas di beranda kok gak ada story nya tolong lah segera diperbaiki,negatif,0,1,279,47,2026-04-23 10:51:27,5,426.0.0.37.68,426.0.0.37.68
waw kerem,positif,2,5,9,2,2026-03-30 09:15:34,0,,
gas,positif,2,5,3,1,2026-05-16 07:28:27,0,427.0.0.47.73,427.0.0.47.73
ga bisa log in ig,negatif,0,1,17,5,2025-12-23 23:54:32,0,,
sangat seruu dan bagus,positif,2,5,22,4,2026-01-13 06:32:00,0,411.0.0.23.257,411.0.0.23.257
bagus semua fitur menurutku sudah merata,positif,2,5,40,6,2025-12-14 03:22:59,4,409.0.0.48.170,409.0.0.48.170
oalah ig ntah kenapa lahh tiba keluar aplks nya dibuka gitu lagi ku coba update lama kali akhir nya ku uninstall ig tadi khaan makin parah download aja lamak sekitar 2jam,negatif,0,1,170,31,2026-03-25 18:49:47,0,,
its the beast,positif,2,5,13,3,2026-01-14 05:43:28,0,411.0.0.23.257,411.0.0.23.257
pengeditan caption sulit,negatif,0,1,24,3,2026-03-13 12:36:30,0,419.0.0.49.71,419.0.0.49.71
good work,positif,2,5,9,2,2026-04-10 07:40:30,0,423.0.0.47.66,423.0.0.47.66
i m not satisfied with instagram s reporting service my friends and i have already reported an account that impersonated me using ai to edit my face but the results are always this account does not go against our community this account literally uses my face without my permission and edits it for bad things,netral,1,2,308,55,2026-03-15 05:04:15,0,420.0.0.55.74,420.0.0.55.74
sangat menarik dan sangat membantu sekali terima kasih saya kasih bintang 5,positif,2,5,75,12,2026-01-13 17:47:08,0,411.0.0.23.257,411.0.0.23.257
instagram mantap bisa menghasilkan uang walau aku belum monet tapi tetap percaya pasti akan terjadi,positif,2,5,99,15,2025-12-26 09:01:05,0,302.1.0.36.111,302.1.0.36.111
semoga bisa menghasilkan cuannn,positif,2,5,31,4,2026-04-06 06:58:56,0,403.0.0.49.74,403.0.0.49.74
kenapa saya tidak dapat menerima chat dari temen saya dan kalo saya mau dapat melihat cht tersebut saya harus menginstal ulang terus beberapa jam lagi kembali lagi eror seperti itu tolong di perbaiki,negatif,0,1,199,33,2026-04-10 06:43:19,0,402.0.0.49.70,402.0.0.49.70
gooood sangat bermanfaat,positif,2,5,24,3,2026-01-03 10:46:07,0,410.1.0.63.71,410.1.0.63.71
apa apa pakai kode tapi kodenya nggak ke kirim juga padahal nomor masih aktif katanya untuk menjaga keamanan padahal akun saya sendiri,negatif,0,1,134,22,2026-01-27 13:51:17,21,413.0.0.41.84,413.0.0.41.84
puas aplikasi yang bisa membantu bisnis dan pertemuan jodoh,netral,1,4,59,9,2026-02-10 11:19:03,1,413.0.0.41.84,413.0.0.41.84
buat life,positif,2,5,9,2,2026-01-06 22:53:49,0,,
nice apps so helpfull to share something to evryone,positif,2,5,51,9,2026-03-29 17:32:16,0,,
kenapa beberapa hari terakhir ig tidak bisa di gunakan padahal jaringannya lancar,netral,1,3,81,12,2026-04-25 06:26:59,0,426.0.0.37.68,426.0.0.37.68
cuma disuruh download sama temen eh malah ketagihan seru deh pokonya,netral,1,4,68,11,2026-02-02 12:16:44,0,,
suruh kirim tautan ato kode di wa mlh gabisa gimana ini operator ny repot klo mo pindah akun,negatif,0,1,92,18,2026-03-13 17:32:15,0,,
gara instagram gampang buat nyari cewe,positif,2,5,38,6,2026-01-07 05:12:57,0,410.1.0.63.71,410.1.0.63.71
